;;;;;;; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ;;;
No;Nama Obat;Satuan;Harga Satuan;Jml/Kemasan;Kegunaan;Jenis / Golongan Obat; 08-24 ; 08-24 ; 08-24 ; 09-24 ; 09-24 ; 09-24 ; 09-24 ; 10-24 ; 10-24 ; 10-24 ; 10-24 ; 11-24 ; 11-24 ; 11-24 ; 11-24 ; 12-24 ; 12-24 ; 12-24 ; 12-24 ; 01-25 ; 01-25 ; 01-25 ; 01-25 ; 02-25 ; 02-25 ; 02-25 ; 02-25 ; 03-25 ; 03-25 ; 03-25 ; 03-25 ; 04-25 ; 04-25 ; 04-25 ; 04-25 ; 05-25 ; 05-25 ; 05-25 ; 05-25 ; 06-25 ; 06-25 ; 06-25 ; 06-25 ; 07-25 ; 07-25 ; 07-25 ; 07-25 ; 08-25 ; 08-25 ; 08-25 ; 08-25 ; 09-25 ; 09-25 ; 09-25 ; 09-25 ;Ket Selisih; Data Wafa ; Variance 
1;Allopurinol;Tablet;0;0;Mengurangi Kadar Asam Urat Berlebih Di Dalam Darah;obat antiinflamasi nonsteroid (NSAID); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 100 ; 100 ; 300 ; 400 ; 100 ; 300 ; -   ; 300 ; 50 ; 250 ; -   ; 250 ; 80 ; 170 ; 100 ; 270 ; 95 ; 175 ; -   ; 175 ; 55 ; 120 ; 100 ; 220 ; 75 ; 145 ; -   ; 145 ; 60 ; 85 ; 100 ; 185 ; -   ; 185 ;; 185 ; -   
2;Ambeven;Tablet;0;0;"Mengobati Wasir, Ambeien, Atau Hemoroid";Herbal; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 20 ; 80 ; -   ; 80 ; 30 ; 50 ; -   ; 50 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 10 ; 90 ; -   ; 90 ; 20 ; 70 ; -   ; 70 ; 60 ; 10 ; 100 ; 110 ; 10 ; 100 ; -   ; 100 ; 30 ; 70 ;; 70 ; -   
3;Ambroxol;Tablet;0;0;"Mengencerkan Dahak. Obat Ini Dapat Digunakan Pada Berbagai Kondisi Dengan Batuk Berdahak, Termasuk Batuk Pilek (Common Cold), Bronkitis, Emfisema, Atau Bronkiektasis";mukolitik; 200 ; 30 ; 170 ; -   ; 170 ; 70 ; 100 ; -   ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 150 ; 50 ; 100 ; 150 ; 150 ; -   ; 300 ; 300 ; 100 ; 200 ; -   ; 200 ; 200 ; -   ; 200 ; 200 ; 85 ; 115 ; -   ; 115 ; 115 ; -   ; 200 ; 200 ; 110 ; 90 ; -   ; 90 ; 90 ; -   ;; -   ; -   
4;Amlodipin 10Mg;Tablet;0;0;Tekanan Darah Tinggi (Hipertensi);calcium-channel blockers (CCBs); -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 160 ; 40 ; 200 ; 240 ; 110 ; 130 ; 200 ; 330 ; 80 ; 250 ; -   ; 250 ; 210 ; 40 ; 200 ; 240 ; 120 ; 120 ; -   ; 120 ; 110 ; 10 ; 300 ; 310 ; 70 ; 240 ; -   ; 240 ; 240 ; -   ; 150 ; 150 ; 120 ; 30 ; 100 ; 130 ; 120 ; 10 ; 200 ; 210 ; 210 ; -   ; 200 ; 200 ; 160 ; 40 ;; 40 ; -   
5;Amlodipin 5Mg;Tablet;0;0;Tekanan Darah Tinggi (Hipertensi);calcium-channel blockers (CCBs); -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 120 ; 80 ; 100 ; 180 ; 150 ; 30 ; 300 ; 330 ; 140 ; 190 ; 100 ; 290 ; 180 ; 110 ; 100 ; 210 ; 140 ; 70 ; 300 ; 370 ; 310 ; 60 ; 300 ; 360 ; 110 ; 250 ; 100 ; 350 ; 350 ; -   ; 200 ; 200 ; 183 ; 17 ; 300 ; 317 ; 197 ; 120 ; 300 ; 420 ; 230 ; 190 ;; 190 ; -   
6;Amoxicilin;Tablet;0;0;Antibiotik - Infeksi Bakteri;penisilin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 40 ; 260 ; 300 ; 560 ; 260 ; 300 ; 500 ; 800 ; 380 ; 420 ; -   ; 420 ; 310 ; 110 ; 400 ; 510 ; 370 ; 140 ; 300 ; 440 ; 270 ; 170 ; 200 ; 370 ; 260 ; 110 ; 300 ; 410 ; 140 ; 270 ; -   ; 270 ; 230 ; 40 ; 300 ; 340 ; 190 ; 150 ;Selisih dibulan Mei ; 140 ; (10)
7;Antasida Doen Sirup;Botol;0;0;Nyeri Lambung;antasida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 20 ; 5 ; 15 ; 10 ; 25 ; 8 ; 17 ; -   ; 17 ; 9 ; 8 ; 14 ; 22 ; 16 ; 6 ; 50 ; 56 ; 46 ; 10 ; -   ; 10 ; 10 ; -   ; 15 ; 15 ; 10 ; 5 ; 10 ; 15 ; 15 ; -   ; 15 ; 15 ; 15 ; -   ; 25 ; 25 ; 14 ; 11 ; -   ; 11 ; 11 ; -   ;; -   ; -   
8;Antasida Doen Tablet;Tablet;0;0;Nyeri Lambung;antasida; -   ; -   ; -   ; 200 ; 200 ; 190 ; 10 ; 400 ; 410 ; 410 ; -   ; 300 ; 300 ; 300 ; -   ; 300 ; 300 ; 240 ; 60 ; 400 ; 460 ; 370 ; 90 ; 500 ; 590 ; 550 ; 40 ; 700 ; 740 ; 280 ; 460 ; -   ; 460 ; 340 ; 120 ; 300 ; 420 ; 380 ; 40 ; 300 ; 340 ; 320 ; 20 ; 400 ; 420 ; 372 ; 48 ; 300 ; 348 ; 348 ; -   ; 400 ; 400 ; 370 ; 30 ;; 30 ; -   
9;Asam Mefenamat;Tablet;0;0;"Meredakan Nyeri Yang Muncul Pada Saat Sakit Gigi, Sakit Kepala, Bahkan Nyeri Haid";obat antiinflamasi nonsteroid (NSAID); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 500 ; 500 ; 395 ; 105 ; 300 ; 405 ; 385 ; 20 ; 500 ; 520 ; 350 ; 170 ; 500 ; 670 ; 440 ; 230 ; 300 ; 530 ; 310 ; 220 ; 300 ; 520 ; 350 ; 170 ; 300 ; 470 ; 395 ; 75 ; 400 ; 475 ; 455 ; 20 ; 400 ; 420 ; 192 ; 228 ; 200 ; 428 ; 428 ; -   ; 400 ; 400 ; 400 ; -   ;; -   ; -   
10;Attapulgite;Tablet;0;0;Obat Untuk Meredakan Diare;antidiare; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 160 ; (60); -   ; (60); 135 ; (195); 200 ; 5 ; 125 ; (120); -   ; (120); 20 ; (140); -   ; (140); 110 ; (250); -   ; (250); -   ; (250); -   ; (250); -   ; (250);Plus Minus dengan Diatabs; -   ; 250 
11;Cefadroxil;Tablet;0;0;"Infeksi Saluran Pernapasan Seperti Bronkitis, Infeksi Kulit, Tulang, Sendi, Saluran Kemih Serta Gonorrhea";sefalosporin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 50 ; 50 ; -   ; 50 ; 50 ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; -   ; 200 ; -   ; 200 ; 30 ; 170 ; -   ; 170 ; 50 ; 120 ; -   ; 120 ; 40 ; 80 ; -   ; 80 ; 20 ; 60 ; -   ; 60 ; 20 ; 40 ;; 40 ; -   
12;Cefixme;Tablet;0;0;"Mengatasi Infeksi Bakteri Seperti Infeksi Tht, Radang Tenggorokan, Infeksi Darah, Infeksi Tulang, Infeksi Saluran Kemih, Pneumonia, Infeksi Kulit, Sumsung Tulang, Gonore, Dan Infeksi Setelah Melahirkan.";antibiotik sefalosporin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 20 ; 80 ; -   ; 80 ; 40 ; 40 ; -   ; 40 ; 40 ; -   ; 100 ; 100 ; -   ; 100 ; -   ; 100 ; 12 ; 88 ; -   ; 88 ; 78 ; 10 ;; 10 ; -   
13;Cetirizine;Tablet;0;0;Mengurangi Gejala Yang Diakibatkan Oleh Reaksi Alergi;antihistamin; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 500 ; 500 ; 420 ; 80 ; -   ; 80 ; 80 ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 290 ; 10 ; 100 ; 110 ; 110 ; -   ; 200 ; 200 ; 160 ; 40 ; 300 ; 340 ; 280 ; 60 ; 200 ; 260 ; 260 ; -   ;; -   ; -   
14;Cipropluxacin;Tablet;0;0;"Antibiotik Untuk Mengatasi Berbagai Penyakit Akibat Infeksi Bakteri, Seperti Pneumonia, Gonore, Infeksi Saluran Kemih, Infeksi Prostat, Atau Infeksi Mata Dan Telinga";antibiotik fluoroquinolone; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 20 ; 180 ; -   ; 180 ; 70 ; 110 ; -   ; 110 ; 70 ; 40 ; 100 ; 140 ; 15 ; 125 ; -   ; 125 ; 55 ; 70 ; -   ; 70 ; 50 ; 20 ; -   ; 20 ; 20 ; -   ; 100 ; 100 ; 40 ; 60 ;; 60 ; -   
15;CTM;Tablet;0;0;"Meredakan Gejala Alergi, Rhinitis Alergi (Hay Fever), Atau Batuk Pilek";Antihistamine; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 155 ; 145 ; -   ; 145 ; 100 ; 45 ; 300 ; 345 ; 85 ; 260 ; 100 ; 360 ; 50 ; 310 ; -   ; 310 ; 120 ; 190 ; -   ; 190 ; 150 ; 40 ; 100 ; 140 ; 80 ; 60 ; -   ; 60 ; 22 ; 38 ;; 38 ; -   
16;Dexamethasone;Tablet;0;0;" Meredakan Peradangan Pada Beberapa Kondisi, Seperti Reaksi Alergi, Penyakit Autoimun, Atau Radang Sendi.";kortikosteroid; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 500 ; 500 ; 450 ; 50 ; 200 ; 250 ; 70 ; 180 ; 200 ; 380 ; 165 ; 215 ; -   ; 215 ; 210 ; 5 ; 200 ; 205 ; 115 ; 90 ; 300 ; 390 ; 230 ; 160 ; 100 ; 260 ; 230 ; 30 ; 100 ; 130 ; 120 ; 10 ;; 10 ; -   
17;Diatabs;Tablet;0;0;"Pengobatan Simtomatik Pada Diare Non-Spesifik, Yaitu Diare Yang Tidak Diketahui Penyebabnya Dengan Jelas";Antidiare; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 180 ; 20 ; 200 ; 220 ; 132 ; 88 ; -   ; 88 ; 88 ; -   ; 200 ; 200 ; 200 ; -   ; 400 ; 400 ; 150 ; 250 ; -   ; 250 ; -   ; 250 ; 100 ; 350 ; -   ; 350 ; -   ; 350 ; 64 ; 286 ; 100 ; 386 ; 84 ; 302 ; 200 ; 502 ; 112 ; 390 ; 200 ; 590 ; 172 ; 418 ; -   ; 418 ; 88 ; 330 ;Plus Minus dengan Antaplugit; 80 ; (250)
18;Flucadex;Tablet;0;0;"Obat Yang Bermanfaat Untuk Meredakan Flu Dan Batuk, Baik Batuk Berdahak Maupun Batuk Tidak Berdahak";"Analgesik dan antipiretik, ekspektoran, dekongestan, antitusif, serta antihistamin"; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 200 ; -   ; 100 ; 100 ; 100 ; -   ; 1.000 ; 1.000 ; 1.000 ; -   ; 1.200 ; 1.200 ; 1.130 ; 70 ; 600 ; 670 ; 530 ; 140 ; 500 ; 640 ; 635 ; 5 ; 700 ; 705 ; 702 ; 3 ; 500 ; 503 ; 503 ; -   ; 700 ; 700 ; 620 ; 80 ; 400 ; 480 ; 430 ; 50 ; 600 ; 650 ; 650 ; -   ;; -   ; -   
19;Genoint S.M;Tube;0;0;"Obat Untuk Mengatasi Infeksi Bakteri Di Mata Maupun Kelopak Mata, Seperti Konjungtivitis Bakterial Atau Blefaritis";Antibiotik aminoglikosida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 2 ; 10 ; -   ; 10 ; 4 ; 6 ; -   ; 6 ; 4 ; 2 ;; 2 ; -   
20;Genoint S.K ;Tube;0;0;Obat Antibiotik Oles Untuk Mengatasi Infeksi Kulit Akibat Bakteri;Antibiotik aminoglikosida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 24 ; 24 ; 5 ; 19 ; -   ; 19 ; 8 ; 11 ; 11 ; 22 ; 6 ; 16 ; -   ; 16 ; 11 ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; 3 ; 2 ;Tertukar dengan Genta; -   ; (2)
21;Genoint T.M;Botol;0;0;Obat Antibiotik Oles Untuk Mengatasi Infeksi Kulit Akibat Bakteri;Antibiotik aminoglikosida; 18 ; 5 ; 13 ; -   ; 13 ; 5 ; 8 ; -   ; 8 ; 6 ; 2 ; 24 ; 26 ; 18 ; 8 ; 4 ; 12 ; 10 ; 2 ; 12 ; 14 ; 6 ; 8 ; 24 ; 32 ; 18 ; 14 ; -   ; 14 ; 11 ; 3 ; 24 ; 27 ; 7 ; 20 ; -   ; 20 ; 17 ; 3 ; 5 ; 8 ; 5 ; 3 ; 24 ; 27 ; 13 ; 14 ; -   ; 14 ; 11 ; 3 ; 12 ; 15 ; 12 ; 3 ;Stock WAFA lebih Jan 25 harusnya 8 berubah jd 5; -   ; (3)
22;Grantusif;Tablet;0;0;"Meredakan Batuk, Terutama Batuk Berdahak Yang Disertai Alergi";"kombinasi ekspektoran (guaifenesin), antitusif (dextromethorphan), dan antihistamin (diphenhydramine)"; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 195 ; 105 ; -   ; 105 ; 105 ; -   ; -   ; -   ; -   ; -   ;;; -   
23;Hansaplast;Pcs;0;0;Produk Plester Luka Dan Perawatan Luka;Plaster Luka; -   ; -   ; -   ; 152 ; 152 ; 94 ; 58 ; 200 ; 258 ; 68 ; 190 ; -   ; 190 ; 87 ; 103 ; 100 ; 203 ; 93 ; 110 ; 200 ; 310 ; 172 ; 138 ; -   ; 138 ; 138 ; -   ; 200 ; 200 ; 100 ; 100 ; 100 ; 200 ; 98 ; 102 ; -   ; 102 ; 102 ; -   ; 200 ; 200 ; 121 ; 79 ; 200 ; 279 ; 71 ; 208 ; -   ; 208 ; 114 ; 94 ; 100 ; 194 ; 35 ; 159 ;; 159 ; -   
24;Hydrocortisone;Tube;0;0;"Obat Yang Digunakan Untuk Meredakan Peradangan, Mengurangi Reaksi Sistem Kekebalan Tubuh Yang Berlebihan, Dan Mengatasi Kekurangan Hormon Kortisol";Kortikosteroid; 24 ; 3 ; 21 ; -   ; 21 ; 2 ; 19 ; -   ; 19 ; 7 ; 12 ; -   ; 12 ; 5 ; 7 ; 12 ; 19 ; 7 ; 12 ; -   ; 12 ; 7 ; 5 ; 24 ; 29 ; 6 ; 23 ; -   ; 23 ; 2 ; 21 ; -   ; 21 ; 6 ; 15 ; -   ; 15 ; 6 ; 9 ; -   ; 9 ; 6 ; 3 ; 24 ; 27 ; 7 ; 20 ; -   ; 20 ; 4 ; 16 ; -   ; 16 ; 2 ; 14 ;; 14 ; -   
25;Insto Regular;Botol;0;0;"Mengatasi Mata Merah Dan Rasa Perih Di Mata Yang Disebabkan Oleh Iritasi Mata Ringan Karena Debu, Asap, Angin, Atau Air Kolam Renang";dekongestan; 24 ; 23 ; 1 ; 24 ; 25 ; 14 ; 11 ; 12 ; 23 ; 23 ; -   ; 19 ; 19 ; 17 ; 2 ; 24 ; 26 ; 16 ; 10 ; 24 ; 34 ; 27 ; 7 ; 12 ; 19 ; 11 ; 8 ; 12 ; 20 ; 16 ; 4 ; 24 ; 28 ; 23 ; 5 ; 12 ; 17 ; 17 ; -   ; 24 ; 24 ; 24 ; -   ; 24 ; 24 ; 24 ; -   ; 24 ; 24 ; 12 ; 12 ; 12 ; 24 ; 23 ; 1 ;; 1 ; -   
26;Kassa Steril;Pcs;0;0;Menutup Luka. Indikasi / Kegunaan. Untuk Menutup Luka. Aturan Pakai. Digunakan Pada Daerah Yang Luka;Kasa Steril; -   ; -   ; -   ; 40 ; 40 ; -   ; 40 ; -   ; 40 ; 40 ; -   ; 320 ; 320 ; 40 ; 280 ; -   ; 280 ; 56 ; 224 ; -   ; 224 ; 76 ; 148 ; -   ; 148 ; 68 ; 80 ; -   ; 80 ; 80 ; -   ; 160 ; 160 ; 48 ; 112 ; 160 ; 272 ; 112 ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; 32 ; 128 ; -   ; 128 ; 32 ; 96 ;; 96 ; -   
27;Lansoprazol ;Tablet;0;0;"Obat Yang Bermanfaat Untuk Mengatasi Keluhan Akibat Peningkatan Asam Lambung, Seperti Sensasi Panas Di Dada, Sakit Perut, Mulut Terasa Asam, Serta Mual Dan Muntah. Lansoprazole Tersedia Dalam Bentuk Kapsul, Kapsul Lepas Tunda, Dan Suntik";antasida; 260 ; 166 ; 94 ; 60 ; 154 ; 99 ; 55 ; -   ; 55 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
28;Metformin ;Tablet;0;0;"Mengendalikan Kadar Gula Darah Pada Penderita Diabetes Tipe 2. Jika Kadar Gula Darah Stabil Pada Batas Normal, Risiko Terjadinya Komplikasi Akibat Diabetes, Seperti Stroke Dan Penyakit Jantung, Bisa Ditekan";	Antidiabetes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 110 ; 90 ; 300 ; 390 ; 160 ; 230 ; -   ; 230 ; 160 ; 70 ; 100 ; 170 ; 90 ; 80 ; 100 ; 180 ; 100 ; 80 ; 200 ; 280 ; 180 ; 100 ; 100 ; 200 ; 60 ; 140 ;; 140 ; -   
29;Methylprednisolone;Tablet;0;0;"Meredakan Peradangan Pada Berbagai Kondisi, Termasuk Radang Sendi, Radang Usus, Asma, Psoriasis, Lupus, Hingga Multiple Sclerosis.";kortikosteroid; 200 ; 185 ; 15 ; 300 ; 315 ; 315 ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 300 ; -   ; 200 ; 200 ; 200 ; -   ; 800 ; 800 ; 720 ; 80 ; 300 ; 380 ; 380 ; -   ; 400 ; 400 ; 215 ; 185 ; 300 ; 485 ; 335 ; 150 ; 100 ; 250 ; 250 ; -   ; 300 ; 300 ; 240 ; 60 ; 300 ; 360 ; 360 ; -   ; 300 ; 300 ; 300 ; -   ; 300 ; 300 ; 300 ; -   ;; -   ; -   
